event_uid,chunk_id,chunk_text,titre,description,date,lieu,ville,latitude,longitude,type_evenement
48453764,48453764_0,"Événement : Que veut dire habiter Rochebelle ?. Du 30 mai au 6 juin, le Laboratoire Architecture et Anthropologie (Laa_LAVUE UMR7268 du CNRS) mène une résidence de recherche collective et participative à Rochebelle. Date : 03/06/2025. Lieu : Pôle culturel et scientifique de Rochebelle, Alès. Catégorie : {'fr': ['Solidarité']}.",Que veut dire habiter Rochebelle ?,"Du 30 mai au 6 juin, le Laboratoire Architecture et Anthropologie (Laa_LAVUE UMR7268 du CNRS) mène une résidence de recherche collective et participative à Rochebelle.",03/06/2025,Pôle culturel et scientifique de Rochebelle,Alès,44.130064,4.068028,{'fr': ['Solidarité']}
23910277,23910277_0,"Événement : Atelier Capcom Go. Fabrication d'une petite fusée à réaction chimique ''sans danger'' Date : 28/05/2025. Lieu : École municipale d’Astronomie, Alès.",Atelier Capcom Go,Fabrication d'une petite fusée à réaction chimique ''sans danger'',28/05/2025,École municipale d’Astronomie,Alès,44.130207,4.068889,
14383353,14383353_0,"Événement : Vanessa Caffin - Marie-Paule Istria. L'une est une autrice-éditrice déjà installée, l'autre une nouvelle voix littéraire mise en avant par la maison d'édition Livres Agités. Date : 28/05/2026. Lieu : Librairie Volte Pages, Olivet.",Vanessa Caffin - Marie-Paule Istria,"L'une est une autrice-éditrice déjà installée, l'autre une nouvelle voix littéraire mise en avant par la maison d'édition Livres Agités.",28/05/2026,Librairie Volte Pages,Olivet,47.865001,1.901771,
67153673,67153673_0,"Événement : Vacances en poche. Préparez vos vacances avec nous : une soirée conviviale pour préparer vos vacances en douceur. Date : 18/06/2026. Lieu : Librairie Volte Pages, Olivet.",Vacances en poche,Préparez vos vacances avec nous : une soirée conviviale pour préparer vos vacances en douceur.,18/06/2026,Librairie Volte Pages,Olivet,47.865001,1.901771,
722058,722058_0,"Événement : Marché O'Livres. Moment convivial et ouvert à tous Date : 21/06/2026. Lieu : Place Louis Sallé, Olivet.",Marché O'Livres,Moment convivial et ouvert à tous,21/06/2026,Place Louis Sallé,Olivet,47.865098,1.901575,
3269190,3269190_0,"Événement : ATELIER D'ILLUSTRATION. Découvrez l'univers graphique de Florian Pigé Date : 22/04/2026. Lieu : Librairie Volte Pages, Olivet.",ATELIER D'ILLUSTRATION,Découvrez l'univers graphique de Florian Pigé,22/04/2026,Librairie Volte Pages,Olivet,47.865001,1.901771,
45343127,45343127_0,"Événement : AUDREY ALWETT. Rencontre et dédicace avec Audrey Alwett pour son livre Ste emmerderesse Date : 17/04/2026. Lieu : Librairie Volte Pages, Olivet.",AUDREY ALWETT,Rencontre et dédicace avec Audrey Alwett pour son livre Ste emmerderesse,17/04/2026,Librairie Volte Pages,Olivet,47.865001,1.901771,
81900592,81900592_0,"Événement : Rendez-vous aux Jardins. Au château de La Bussière, ce rendez-vous est l’occasion de porter un regard renouvelé sur le domaine, entre architecture et paysage, entre intérieur et extérieur. Thème : ""La vue"". Date : 06/06/2026. Lieu : Château de la Bussière, La Bussière.",Rendez-vous aux Jardins,"Au château de La Bussière, ce rendez-vous est l’occasion de porter un regard renouvelé sur le domaine, entre architecture et paysage, entre intérieur et extérieur. Thème : ""La vue"".",06/06/2026,Château de la Bussière,La Bussière,47.74727,2.748874,
71155851,71155851_0,"Événement : Je pense à toi avant de t'enterrer dans mon cœur. Cette exposition évoque les liens d’affection humains-animaux au travers de  céramiques provenant de la série “Deuil animal” commencée en 2025 par l'artiste. Date : 20/05/2026. Lieu : Cours Cambronne, Nantes. Catégorie : {'fr': ['exposition', 'céramiques', 'animaux', 'art contemporain', 'deuil', 'animaux de compagnies']}.",Je pense à toi avant de t'enterrer dans mon cœur,Cette exposition évoque les liens d’affection humains-animaux au travers de  céramiques provenant de la série “Deuil animal” commencée en 2025 par l'artiste.,20/05/2026,Cours Cambronne,Nantes,47.211851,-1.563449,"{'fr': ['exposition', 'céramiques', 'animaux', 'art contemporain', 'deuil', 'animaux de compagnies']}"
29675373,29675373_0,"Événement : Interrail. Exposition de photographies réalisée par l'artiste Jules Marionneau, grâce au pass Interrail de la SNCF Date : 09/04/2026. Lieu : Gare de Nantes Nord, Nantes. Catégorie : {'fr': ['exposition', 'photographies', 'trains', 'voyage']}.",Interrail,"Exposition de photographies réalisée par l'artiste Jules Marionneau, grâce au pass Interrail de la SNCF",09/04/2026,Gare de Nantes Nord,Nantes,47.218222,-1.53927,"{'fr': ['exposition', 'photographies', 'trains', 'voyage']}"
75373490,75373490_0,"Événement : STAMINA. Exposition de l'artiste Ellen REYMOND à la SUPER Galerie Date : 26/02/2026. Lieu : Place Dulcie September, Nantes. Catégorie : {'fr': ['exposition', 'Art', 'installation', 'vitrine', 'artiste', 'etudiant', 'emergence', 'art visuel']}.",STAMINA,Exposition de l'artiste Ellen REYMOND à la SUPER Galerie,26/02/2026,Place Dulcie September,Nantes,47.216916,-1.554239,"{'fr': ['exposition', 'Art', 'installation', 'vitrine', 'artiste', 'etudiant', 'emergence', 'art visuel']}"
38671365,38671365_0,"Événement : Traversées. Une exposition lille3000 dans le cadre de sa saison ""Gare Méditerranée"" Date : 15/05/2026. Lieu : Gare Saint Sauveur, Lille.",Traversées,"Une exposition lille3000 dans le cadre de sa saison ""Gare Méditerranée""",15/05/2026,Gare Saint Sauveur,Lille,50.627319,3.069793,
13970066,13970066_0,"Événement : Musée virtuel L'Art de la différence. La nouvelle édition du musée virtuel L’Art de la Différence invite le public à une expérience immersive et inclusive avec plus de 150 œuvres en ligne. Date : 23/05/2026. Lieu : Musée virtuel L'Art de la différence, Lille.",Musée virtuel L'Art de la différence,La nouvelle édition du musée virtuel L’Art de la Différence invite le public à une expérience immersive et inclusive avec plus de 150 œuvres en ligne.,23/05/2026,Musée virtuel L'Art de la différence,Lille,50.632415,3.051419,
96371423,96371423_0,"Événement : Exposition temporaire « Le pain, de la terre à la table ». « Présent sur tous les continents, le pain est l’un des aliments les plus anciens et les plus partagés au monde. Fabriqué à partir de céréales locales, il accompagne les repas du quotidien, les fêtes… Date : 23/05/2026. Lieu : Musée de la Thiérache, Vervins.","Exposition temporaire « Le pain, de la terre à la table »","« Présent sur tous les continents, le pain est l’un des aliments les plus anciens et les plus partagés au monde. Fabriqué à partir de céréales locales, il accompagne les repas du quotidien, les fêtes…",23/05/2026,Musée de la Thiérache,Vervins,49.834554,3.906672,
72181609,72181609_0,"Événement : Une nuit avec Manessier et les grands noms de l’art. Venez découvrir l'exposition temporaire Alfred Manessier, traverser le monde ouverte depuis le 12 avril ou les artistes de nos collections Karel Appel, Nicky de St Phalle, Joan Mitchell, Sonia Cueco,… Date : 23/05/2026. Lieu : Le LAAC, Dunkerque.",Une nuit avec Manessier et les grands noms de l’art,"Venez découvrir l'exposition temporaire Alfred Manessier, traverser le monde ouverte depuis le 12 avril ou les artistes de nos collections Karel Appel, Nicky de St Phalle, Joan Mitchell, Sonia Cueco,…",23/05/2026,Le LAAC,Dunkerque,51.046262,2.382483,
56303018,56303018_0,"Événement : Le musée passe en mode jeu vidéo. Nuit des musées à la maison Folie hospice d’Havré Le 23 mai, de 14h à minuit, profitez d’une journée et d'une soirée gratuites dans l'univers du jeu vidéo ! Date : 23/05/2026. Lieu : Maison Folie Hospice d'Havré, Tourcoing.",Le musée passe en mode jeu vidéo,"Nuit des musées à la maison Folie hospice d’Havré Le 23 mai, de 14h à minuit, profitez d’une journée et d'une soirée gratuites dans l'univers du jeu vidéo !",23/05/2026,Maison Folie Hospice d'Havré,Tourcoing,50.720777,3.163423,
73335461,73335461_0,"Événement : Portes-ouvertes. Découvrez 300 ans de production céramique à Desvres à travers plus de 700 pièces : poteries, faïences, porcelaines, grès. Admirez des collections spectaculaires à travers une scénographie étonnante… Date : 23/05/2026. Lieu : Musée de la Céramique, Desvres.",Portes-ouvertes,"Découvrez 300 ans de production céramique à Desvres à travers plus de 700 pièces : poteries, faïences, porcelaines, grès. Admirez des collections spectaculaires à travers une scénographie étonnante…",23/05/2026,Musée de la Céramique,Desvres,50.666836,1.841929,
2745105,2745105_0,"Événement : Entre Moyen Âge et enchantement : une nuit d’aventures. Comme chaque année, le musée archéologique de l’Oise célèbre la Nuit européenne des musées en proposant au public de nombreuses activités gratuites en lien avec le monde du spectacle : contes pour de… Date : 23/05/2026. Lieu : Musée archéologique de l'Oise, Vendeuil-Caply.",Entre Moyen Âge et enchantement : une nuit d’aventures,"Comme chaque année, le musée archéologique de l’Oise célèbre la Nuit européenne des musées en proposant au public de nombreuses activités gratuites en lien avec le monde du spectacle : contes pour de…",23/05/2026,Musée archéologique de l'Oise,Vendeuil-Caply,49.610318,2.297418,
56582499,56582499_0,"Événement : Visite du musée accompagnée par les Amis du Vieil Harnes. Visite accompagnée par les Amis du Vieil Harnes Date : 23/05/2026. Lieu : Musée d'histoire et d'archéologie, Harnes.",Visite du musée accompagnée par les Amis du Vieil Harnes,Visite accompagnée par les Amis du Vieil Harnes,23/05/2026,Musée d'histoire et d'archéologie,Harnes,50.447569,2.910537,
85998540,85998540_0,"Événement : Repair Café. Rejoignez-nous pour un Repair Café dédié aux jeux vidéo ! Aux côtés de l’association Le Jardin des Bennes, venez réparer vos objets du quotidien et leur offrir une seconde vie. Date : 23/05/2026. Lieu : Maison Folie Hospice d'Havré, Tourcoing.",Repair Café,"Rejoignez-nous pour un Repair Café dédié aux jeux vidéo ! Aux côtés de l’association Le Jardin des Bennes, venez réparer vos objets du quotidien et leur offrir une seconde vie.",23/05/2026,Maison Folie Hospice d'Havré,Tourcoing,50.720777,3.163423,
31845531,31845531_0,"Événement : Atelier enfant CAMERA OBSCURA avec David Leleu. Facile à fabriquer, une camera obscura (ou chambre noire) est un instrument permettant de visualiser l’image inversée d’une scène ou d’un objet illuminé. David Leleu accompagne les enfants dans la de… Date : 23/05/2026. Lieu : FRAC Grand Large - Hauts-de-France, Dunkerque.",Atelier enfant CAMERA OBSCURA avec David Leleu,"Facile à fabriquer, une camera obscura (ou chambre noire) est un instrument permettant de visualiser l’image inversée d’une scène ou d’un objet illuminé. David Leleu accompagne les enfants dans la de…",23/05/2026,FRAC Grand Large - Hauts-de-France,Dunkerque,51.047548,2.377911,
97745593,97745593_0,"Événement : Atelier camera obscura. **À l’occasion de la Nuit européenne des Musées, l’Institut pour la photographie investit le Frac Grand Large (Dunkerque) avec une soirée placée sous le signe de l’image, de la lumière et du son, en … Date : 23/05/2026. Lieu : FRAC Grand Large - Hauts-de-France, Dunkerque.",Atelier camera obscura,"**À l’occasion de la Nuit européenne des Musées, l’Institut pour la photographie investit le Frac Grand Large (Dunkerque) avec une soirée placée sous le signe de l’image, de la lumière et du son, en …",23/05/2026,FRAC Grand Large - Hauts-de-France,Dunkerque,51.047548,2.377911,
84826026,84826026_0,"Événement : Escape Game « Jour d'offensive ». Après Verdun, la plus grande opération militaire de cette guerre sera cette fois à l'initiative de la France et de son allié britannique. Tout est question de timing. Ce timing, vous devrez réussir à… Date : 23/05/2026. Lieu : Musée-historial de la Grande Guerre, Péronne.",Escape Game « Jour d'offensive »,"Après Verdun, la plus grande opération militaire de cette guerre sera cette fois à l'initiative de la France et de son allié britannique. Tout est question de timing. Ce timing, vous devrez réussir à…",23/05/2026,Musée-historial de la Grande Guerre,Péronne,49.929244,2.932815,
34339892,34339892_0,"Événement : Péronne en mouvements. Venez (re)découvrir les collections du musée Alfred Danicourt. Date : 23/05/2026. Lieu : Musée Alfred Danicourt, Péronne.",Péronne en mouvements,Venez (re)découvrir les collections du musée Alfred Danicourt.,23/05/2026,Musée Alfred Danicourt,Péronne,49.929942,2.935273,
16280572,16280572_0,"Événement : Visite guidée du musée. Qu’ils soient écoliers français mobilisés dans l’effort de guerre, munitionnettes britanniques travaillant à l’arrière ou aviateurs allemands engagés sur le front, tous les contemporains de la Grande… Date : 23/05/2026. Lieu : Musée-historial de la Grande Guerre, Péronne.",Visite guidée du musée,"Qu’ils soient écoliers français mobilisés dans l’effort de guerre, munitionnettes britanniques travaillant à l’arrière ou aviateurs allemands engagés sur le front, tous les contemporains de la Grande…",23/05/2026,Musée-historial de la Grande Guerre,Péronne,49.929244,2.932815,
53442339,53442339_0,"Événement : Représentation de la pièce - « L'invitation ». En partenariat avec la Comédie de Picardie Date : 23/05/2026. Lieu : FRAC Picardie, Amiens.",Représentation de la pièce - « L'invitation »,En partenariat avec la Comédie de Picardie,23/05/2026,FRAC Picardie,Amiens,49.885615,2.310726,
15419359,15419359_0,"Événement : mirArt à Senlis : les élèves rêvent la peinture de Séraphine Louis. Comme chaque année, le programme de la Nuit des musées à Senlis est dense, varié et passionnant ! Date : 23/05/2026. Lieu : Musée d'art et d'archéologie, Senlis.",mirArt à Senlis : les élèves rêvent la peinture de Séraphine Louis,"Comme chaque année, le programme de la Nuit des musées à Senlis est dense, varié et passionnant !",23/05/2026,Musée d'art et d'archéologie,Senlis,49.206536,2.585545,
81916717,81916717_0,"Événement : À la lumière de la nuit, l'histoire s'éveille. De 16h à 19h au département de Pharmacie Date : 23/05/2026. Lieu : UFR3S - Départements de Médecine et Pharmacie, Lille.","À la lumière de la nuit, l'histoire s'éveille",De 16h à 19h au département de Pharmacie,23/05/2026,UFR3S - Départements de Médecine et Pharmacie,Lille,50.611617,3.034752,
8078397,8078397_0,"Événement : « Eurêkoi ? » par la Compagnie du Créac'h. _« Comment nous vient l’idée d’une invention ? Comment surgit l’étincelle ? Comment surgit la lumière qui illumine les ténèbres ? Le sens de l’observation me direz-vous. L’envie de voir le monde il ?… Date : 23/05/2026. Lieu : Musée d'histoire et d'archéologie, Harnes.",« Eurêkoi ? » par la Compagnie du Créac'h,_« Comment nous vient l’idée d’une invention ? Comment surgit l’étincelle ? Comment surgit la lumière qui illumine les ténèbres ? Le sens de l’observation me direz-vous. L’envie de voir le monde il ?…,23/05/2026,Musée d'histoire et d'archéologie,Harnes,50.447569,2.910537,
93848803,93848803_0,"Événement : Museum stories – Saison 1. Le musée de Cambrai lance sa série ! Date : 23/05/2026. Lieu : Musée de Cambrai, Cambrai.",Museum stories – Saison 1,Le musée de Cambrai lance sa série !,23/05/2026,Musée de Cambrai,Cambrai,50.17347,3.229635,
10636547,10636547_0,"Événement : Flûtes, alors !. Laissez-vous porter par une parenthèse musicale proposée par le Conservatoire de Cambrai. Sous la direction d’Agnès Goncalves, les élèves feront résonner les sonorités délicates de la flûte dans la… Date : 23/05/2026. Lieu : Musée de Cambrai, Cambrai.","Flûtes, alors !","Laissez-vous porter par une parenthèse musicale proposée par le Conservatoire de Cambrai. Sous la direction d’Agnès Goncalves, les élèves feront résonner les sonorités délicates de la flûte dans la…",23/05/2026,Musée de Cambrai,Cambrai,50.17347,3.229635,
84547258,84547258_0,"Événement : Visite : La classe, l'oeuvre !. À l'occasion de la Nuit européenne des musées et dans le cadre de l'opération « La classe, l'œuvre ! », les élèves du territoire se font passeurs de culture et médiateurs d'un soir pour les visiteurs… Date : 23/05/2026. Lieu : Musée Sandelin, Saint-Omer.","Visite : La classe, l'oeuvre !","À l'occasion de la Nuit européenne des musées et dans le cadre de l'opération « La classe, l'œuvre ! », les élèves du territoire se font passeurs de culture et médiateurs d'un soir pour les visiteurs…",23/05/2026,Musée Sandelin,Saint-Omer,50.749043,2.254317,
66934166,66934166_0,"Événement : Le CALFAT / Journal des élèves du Collège Notre Dame de Berck-sur-Mer. LE CALFAT Date : 23/05/2026. Lieu : Musée Opale Sud, Berck.",Le CALFAT / Journal des élèves du Collège Notre Dame de Berck-sur-Mer,LE CALFAT,23/05/2026,Musée Opale Sud,Berck,50.405092,1.567687,
41757218,41757218_0,"Événement : Visite des réserves. Dans le cadre de la nuit des musées, le Frac vous propose une visite commentée des réserves. Plongez au coeur de la collection de dessin contemporain du Frac en découvrant les dernières acquisitions.… Date : 23/05/2026. Lieu : FRAC Picardie, Amiens.",Visite des réserves,"Dans le cadre de la nuit des musées, le Frac vous propose une visite commentée des réserves. Plongez au coeur de la collection de dessin contemporain du Frac en découvrant les dernières acquisitions.…",23/05/2026,FRAC Picardie,Amiens,49.885615,2.310726,
4636115,4636115_0,"Événement : Visite thématique : La bataille de la Somme. Grande offensive franco-britannique de 1916, la bataille de la Somme fut, en moins de cinq mois, la plus meurtrière du premier conflit mondial sur le front ouest. Cette visite propose de découvrir de… Date : 23/05/2026. Lieu : Musée-historial de la Grande Guerre, Péronne.",Visite thématique : La bataille de la Somme,"Grande offensive franco-britannique de 1916, la bataille de la Somme fut, en moins de cinq mois, la plus meurtrière du premier conflit mondial sur le front ouest. Cette visite propose de découvrir de…",23/05/2026,Musée-historial de la Grande Guerre,Péronne,49.929244,2.932815,
21750578,21750578_0,"Événement : Jeux en plein air. Amusez vous dans le jardin de la légion d'honneur pour des lectures d'histoires et de poésies pour petits et grands Date : 23/05/2026. Lieu : Musée des beaux-arts d'Arras, Arras.",Jeux en plein air,Amusez vous dans le jardin de la légion d'honneur pour des lectures d'histoires et de poésies pour petits et grands,23/05/2026,Musée des beaux-arts d'Arras,Arras,50.291759,2.772987,
63335622,63335622_0,"Événement : Cambrai Tank 1917. À l'occasion de la Nuit Européenne des Musées, le Cambrai Tank 1917 vous accueille gratuitement de 17h30 à 21h samedi 23 mai 2026 (programme bientôt disponible). Date : 23/05/2026. Lieu : Cambrai Tank 1917, Flesquières.",Cambrai Tank 1917,"À l'occasion de la Nuit Européenne des Musées, le Cambrai Tank 1917 vous accueille gratuitement de 17h30 à 21h samedi 23 mai 2026 (programme bientôt disponible).",23/05/2026,Cambrai Tank 1917,Flesquières,50.124223,3.121475,
77611098,77611098_0,"Événement : Visite du musée. Découverte d'une centaine d'oeuvres de Jean Charles Cazin et de ses proches Marie, Jean Michel et Berthe Cazin Date : 23/05/2026. Lieu : Musée Cazin, Samer.",Visite du musée,"Découverte d'une centaine d'oeuvres de Jean Charles Cazin et de ses proches Marie, Jean Michel et Berthe Cazin",23/05/2026,Musée Cazin,Samer,50.639555,1.745296,
70841300,70841300_0,"Événement : Visite des réserves. Dans le cadre de la nuit des musées le Frac vous propose une visite commentée des réserves. Plongez au coeur de la collection de dessin contemporain du Frac en découvrant les dernières acquisitions. Date : 23/05/2026. Lieu : FRAC Picardie, Amiens.",Visite des réserves,Dans le cadre de la nuit des musées le Frac vous propose une visite commentée des réserves. Plongez au coeur de la collection de dessin contemporain du Frac en découvrant les dernières acquisitions.,23/05/2026,FRAC Picardie,Amiens,49.885615,2.310726,
13479582,13479582_0,"Événement : Au fil des mots, broder des histoires, tisser des liens. Cette soirée marque la fin du Contrat Local Date : 23/05/2026. Lieu : MTVS - musée du textile et de la vie sociale, Fourmies.","Au fil des mots, broder des histoires, tisser des liens",Cette soirée marque la fin du Contrat Local,23/05/2026,MTVS - musée du textile et de la vie sociale,Fourmies,50.017451,4.042623,
21662737,21662737_0,"Événement : Exposition « Mundus Meus ». « Tracer, c’est penser. Signer, c’est exister. Chaque trait est une décision, chaque forme une question, chaque variation une respiration. » Date : 23/05/2026. Lieu : Musée du Touquet-Paris-Plage, Le Touquet-Paris-Plage.",Exposition « Mundus Meus »,"« Tracer, c’est penser. Signer, c’est exister. Chaque trait est une décision, chaque forme une question, chaque variation une respiration. »",23/05/2026,Musée du Touquet-Paris-Plage,Le Touquet-Paris-Plage,50.516027,1.60371,
74983066,74983066_0,"Événement : Entre verre soufflé et spectacle : Une soirée enchanteresse. Une soirée festive mêlant verre, création et spectacle vivant vous attend ! Date : 23/05/2026. Lieu : Musverre, Sars-Poteries.",Entre verre soufflé et spectacle : Une soirée enchanteresse,"Une soirée festive mêlant verre, création et spectacle vivant vous attend !",23/05/2026,Musverre,Sars-Poteries,50.16653,4.03723,
93285861,93285861_0,"Événement : Le musée autrement, le temps d’une nuit. Rejoignez-nous, samedi 23 mai à 18h, pour la 22ème édition de la Nuit européenne des musées ! Date : 23/05/2026. Lieu : MUba Eugène Leroy, Tourcoing.","Le musée autrement, le temps d’une nuit","Rejoignez-nous, samedi 23 mai à 18h, pour la 22ème édition de la Nuit européenne des musées !",23/05/2026,MUba Eugène Leroy,Tourcoing,50.723254,3.161769,
3628902,3628902_0,"Événement : Jeu : Mini-théâtre d'ombres. À l'aide de silhouettes évoquant le musée, les enfants passent derrière l'écran et racontent des histoires à leurs parents, et vice versa ! Date : 23/05/2026. Lieu : Musée de la Chartreuse, Douai.",Jeu : Mini-théâtre d'ombres,"À l'aide de silhouettes évoquant le musée, les enfants passent derrière l'écran et racontent des histoires à leurs parents, et vice versa !",23/05/2026,Musée de la Chartreuse,Douai,50.374647,3.0751,
16568688,16568688_0,"Événement : Nuit européenne des musées : À la découverte du musée des enfants / Pour les 6-10 ans. À l’occasion de l’ouverture du musée des enfants, un programme spécial pour les 6-10 ans les emmènera à la découverte de la nature à travers les collections. Date : 23/05/2026. Lieu : Palais des beaux-arts, Lille.",Nuit européenne des musées : À la découverte du musée des enfants / Pour les 6-10 ans,"À l’occasion de l’ouverture du musée des enfants, un programme spécial pour les 6-10 ans les emmènera à la découverte de la nature à travers les collections.",23/05/2026,Palais des beaux-arts,Lille,50.631058,3.060391,
34512113,34512113_0,"Événement : Visite libre du château d'Hardelot. Depuis 2005, la Nuit des Musées vous permet de visiter de manière inédite vos musées préférés. A cette occasion, nous vous proposons une visite libre du manoir et à chaque heure un rendez-vous pour :… Date : 23/05/2026. Lieu : château d'Hardelot, Condette.",Visite libre du château d'Hardelot,"Depuis 2005, la Nuit des Musées vous permet de visiter de manière inédite vos musées préférés. A cette occasion, nous vous proposons une visite libre du manoir et à chaque heure un rendez-vous pour :…",23/05/2026,château d'Hardelot,Condette,50.645654,1.611502,
37707473,37707473_0,"Événement : Visite libre à votre rythme du musée. © museemunicipalsoissons Date : 23/05/2026. Lieu : Musée d'art et d'histoire Saint-Léger, Soissons.",Visite libre à votre rythme du musée,© museemunicipalsoissons,23/05/2026,Musée d'art et d'histoire Saint-Léger,Soissons,49.384539,3.327233,
50251901,50251901_0,"Événement : Atelier « Le musée en lumières ». Pour les enfants : Crée une carte à gratter grâce aux silhouettes emblématiques du musée ! Date : 23/05/2026. Lieu : Musée de la Chartreuse, Douai.",Atelier « Le musée en lumières »,Pour les enfants : Crée une carte à gratter grâce aux silhouettes emblématiques du musée !,23/05/2026,Musée de la Chartreuse,Douai,50.374647,3.0751,
53058307,53058307_0,"Événement : Hamed Abdalla, signes d'Égypte. ### Cette exposition rétrospective rend hommage à une figure majeure de l’art moderne égyptien : l’artiste Hamed Abdalla (1917-1985) dont l’œuvre prolifique au fil de cinquante-deux années de a à les… Date : 23/05/2026. Lieu : IMA-Tourcoing, Tourcoing.","Hamed Abdalla, signes d'Égypte",### Cette exposition rétrospective rend hommage à une figure majeure de l’art moderne égyptien : l’artiste Hamed Abdalla (1917-1985) dont l’œuvre prolifique au fil de cinquante-deux années de a à les…,23/05/2026,IMA-Tourcoing,Tourcoing,50.725204,3.158408,
14069617,14069617_0,"Événement : Exposition « Contenir tout l’univers », Jean-Christophe Norman. Visite libre de l’exposition « Contenir tout l’univers » autour de l’artiste Jean-Christophe Norman. Date : 23/05/2026. Lieu : Musée de l'Arsenal Saint-Jean Soissons, Soissons.","Exposition « Contenir tout l’univers », Jean-Christophe Norman",Visite libre de l’exposition « Contenir tout l’univers » autour de l’artiste Jean-Christophe Norman.,23/05/2026,Musée de l'Arsenal Saint-Jean Soissons,Soissons,49.304464,3.403586,
19751087,19751087_0,"Événement : Exposition temporaire des travaux scolaires 2025-2026. Ancienne église abbatiale Saint-Léger Date : 23/05/2026. Lieu : Musée d'art et d'histoire Saint-Léger, Soissons.",Exposition temporaire des travaux scolaires 2025-2026,Ancienne église abbatiale Saint-Léger,23/05/2026,Musée d'art et d'histoire Saint-Léger,Soissons,49.384539,3.327233,
23375048,23375048_0,"Événement : Une soirée couture et patrimoine. Lors d’une nocturne exceptionnelle, La Piscine vous ouvre ses portes gratuitement pour une soirée magique ! Date : 23/05/2026. Lieu : La Piscine - Musée d'Art et d' Industrie, Roubaix.",Une soirée couture et patrimoine,"Lors d’une nocturne exceptionnelle, La Piscine vous ouvre ses portes gratuitement pour une soirée magique !",23/05/2026,La Piscine - Musée d'Art et d' Industrie,Roubaix,50.692514,3.167947,
30756906,30756906_0,"Événement : Voyage dans le temps. Vivez une soirée immersive à Bagacum et remontez au temps des Gallo-Romains ! Date : 23/05/2026. Lieu : Forum antique de Bavay, Bavay.",Voyage dans le temps,Vivez une soirée immersive à Bagacum et remontez au temps des Gallo-Romains !,23/05/2026,Forum antique de Bavay,Bavay,50.298608,3.79148,
35845575,35845575_0,"Événement : Dans les coulisses de la régie des oeuvres. Plongez dans l'univers passionant de la régie d'oeuvres : conservation, restauration et projets hors les murs pendant les travaux du musée. Date : 23/05/2026. Lieu : Musée des beaux-arts d'Arras, Arras.",Dans les coulisses de la régie des oeuvres,"Plongez dans l'univers passionant de la régie d'oeuvres : conservation, restauration et projets hors les murs pendant les travaux du musée.",23/05/2026,Musée des beaux-arts d'Arras,Arras,50.291759,2.772987,
51291869,51291869_0,"Événement : Le lion est à la mode. Gravez et imprimez les célèbres lions du beffroi sur textile Date : 23/05/2026. Lieu : Musée des beaux-arts d'Arras, Arras.",Le lion est à la mode,Gravez et imprimez les célèbres lions du beffroi sur textile,23/05/2026,Musée des beaux-arts d'Arras,Arras,50.291759,2.772987,
53458964,53458964_0,"Événement : Photobooths. De 18h à 23h Date : 23/05/2026. Lieu : Louvre-Lens, Lens.",Photobooths,De 18h à 23h,23/05/2026,Louvre-Lens,Lens,50.432339,2.804841,
64341420,64341420_0,"Événement : Lectures de Kamishibaï. Dès 18h Date : 23/05/2026. Lieu : Louvre-Lens, Lens.",Lectures de Kamishibaï,Dès 18h,23/05/2026,Louvre-Lens,Lens,50.432339,2.804841,
64994837,64994837_0,"Événement : Visites flash. Dès 18h VISITES-FLASH Date : 23/05/2026. Lieu : Louvre-Lens, Lens.",Visites flash,Dès 18h VISITES-FLASH,23/05/2026,Louvre-Lens,Lens,50.432339,2.804841,
70505615,70505615_0,"Événement : La Guerre par les sens : visite sensorielle. Petits et grands sont invités à découvrir la Première Guerre mondiale de manière originale et accessible. Accompagnés par les médiateurs du musée, les visiteurs pourront toucher des objets du et des… Date : 23/05/2026. Lieu : Musée-historial de la Grande Guerre, Péronne.",La Guerre par les sens : visite sensorielle,"Petits et grands sont invités à découvrir la Première Guerre mondiale de manière originale et accessible. Accompagnés par les médiateurs du musée, les visiteurs pourront toucher des objets du et des…",23/05/2026,Musée-historial de la Grande Guerre,Péronne,49.929244,2.932815,
97831496,97831496_0,"Événement : Exposition René Leleu (1911-1984) - Statuaire et parcours permanent. Le Musée du Mont-de-Piété présente une exposition sur René Leleu (1911-1984). Date : 23/05/2026. Lieu : Musée du Mont-de-Piété, Bergues.",Exposition René Leleu (1911-1984) - Statuaire et parcours permanent,Le Musée du Mont-de-Piété présente une exposition sur René Leleu (1911-1984).,23/05/2026,Musée du Mont-de-Piété,Bergues,50.969087,2.430391,
99512955,99512955_0,"Événement : Espace de création libre. Salle capitulaire et Cloître Saint-Léger Date : 23/05/2026. Lieu : Musée d'art et d'histoire Saint-Léger, Soissons.",Espace de création libre,Salle capitulaire et Cloître Saint-Léger,23/05/2026,Musée d'art et d'histoire Saint-Léger,Soissons,49.384539,3.327233,
29641159,29641159_0,"Événement : Une salle - une ambiance. Le Musée de l’archerie et du Valois vous propose une soirée exceptionnelle où chaque salle aura sa propre ambiance musicale. Date : 23/05/2026. Lieu : Musée de l'archerie et du Valois, Crépy-en-Valois.",Une salle - une ambiance,Le Musée de l’archerie et du Valois vous propose une soirée exceptionnelle où chaque salle aura sa propre ambiance musicale.,23/05/2026,Musée de l'archerie et du Valois,Crépy-en-Valois,49.236814,2.883538,
